year,reversal,execution
1973,5,0
1974,4,0
1975,25,0
1976,198,0
1977,138,1
1978,137,0
1979,36,2
1980,56,0
1981,48,1
1982,60,2
1983,73,5
1984,51,21
1985,61,18
1986,60,17
1987,76,25
1988,110,11
1989,85,16
1990,78,23
1991,111,14
1992,91,31
1993,107,38
1994,57,31
1995,73,56
1996,66,46
1997,74,74
1998,78,68
1999,88,98
2000,62,85
2001,80,66
2002,93,71
2003,270,65
2004,82,59
2005,115,60
2006,56,53
2007,66,42
2008,67,37
2009,58,52
2010,66,46
2011,82,43
2012,66,43
2013,56,39
2014,64,35
2015,63,28
2016,59,20
2017,43,23
2018,49,25
2019,32,22
2020,27,17
2021,22,11
2022,1,7
