year,executions,months
1977,1,
1978,0,
1979,2,
1980,0,
1981,1,
1982,2,
1983,5,
1984,21,74
1985,18,71
1986,18,87
1987,25,86
1988,11,80
1989,16,95
1990,23,95
1991,14,116
1992,31,114
1993,38,113
1994,31,122
1995,56,134
1996,45,125
1997,74,133
1998,68,130
1999,98,143
2000,85,137
2001,66,142
2002,71,127
2003,65,131
2004,59,132
2005,60,147
2006,53,145
2007,42,153
2008,37,139
2009,52,169
2010,46,178
2011,43,198
2012,43,190
2013,39,186
2014,35,218
2015,28,195
2016,20,204
2017,23,243
2018,25,238
2019,22,264
2020,17,227
